,shadow_instability_time
957,947114.8620053596
958,4463176.593719333
959,999000000.02223
960,999999999.9999992
961,766833501.0862658
962,2745327.195926522
963,134648.27877113884
964,999000000.0067708
965,5182624.31047607
966,999000000.0282501
967,1000000000.0
968,1000000000.0000005
969,999000000.0000612
970,999999999.9999988
971,999000000.0029984
972,999000000.0345993
973,17294822.968755055
974,5499712.458130485
975,999000000.0232497
976,1000000000.0000001
977,1000000000.0000002
978,999000000.0157378
979,230315072.01775873
980,1000000000.0000005
981,999999999.9999994
982,23032333.254026316
983,1000000000.0000011
984,999000000.0182883
985,999000000.0274798
986,586336.4032236281
987,999000000.0022349
988,999000000.0261607
989,999999999.9999989
990,999999999.9999994
991,1000000000.0000012
992,999999999.9999992
993,11616313.731773783
994,31435150.223852564
995,999999999.9999994
996,1000000000.0
997,999000000.00842
998,6164776.158189832
999,999999999.9999985
1000,52508825.234656334
1001,999000000.0226241
1002,647486287.0090264
1003,999999999.9999998
1004,999000000.0246522
1005,1000000000.0000014
1006,50317031.57602795
1007,1000000000.0
1008,999999999.9999999
1009,1000000000.0000013
1010,999000000.0218012
1011,4925518.525704848
1012,6051741.837173614
1013,999000000.0167388
1014,2080095.8184087845
1015,999000000.0315536
1016,999999999.9999994
1017,208668912.28932813
1018,6909478.6927092355
1019,999000000.0300717
1020,1763766.1832308662
1021,999000000.0251683
1022,1000000000.0
1023,1971260.9852115265
1024,999000000.0305178
1025,1000000000.0000012
1026,999000000.0010608
1027,999000000.0096704
1028,97994620.01510465
1029,26558302.071200866
1030,5817845.893885679
1031,555146.3596659738
1032,1000000000.0000004
1033,1000000000.0000015
1034,2434719.9233539873
1035,1000000000.0000006
1036,999000000.0198002
1037,898179.6803263423
1038,1000000000.0000004
1039,1055655.037994544
1040,999000000.0295956
1041,1000000000.0000021
1042,1000000000.0000014
1043,1000000000.0
1044,3511030.5661789994
1045,174869.68551712972
1046,469129.5293923577
1047,999000000.0083178
1048,253399.3795861781
1049,133838.51040267234
1050,1000000000.0000002
1051,60618959.35850339
1052,1812348.4066267093
1053,999000000.0084869
1054,999000000.0090775
1055,999000000.0289209
1056,1553161.6235198735
1057,1187089.8786528008
1058,999000000.0234548
1059,1000000000.0000004
1060,109838826.0945109
1061,399800813.54527587
1062,745487.6573828384
1063,9946176.48161504
1064,999000000.0010823
1065,136464564.54431874
1066,2905397.5818610727
1067,999000000.0010835
1068,999999999.9999986
1069,7592098.126853914
1070,1000000000.0000007
1071,4727750.731078363
1072,999000000.0267293
