,runstring,m1,m2,m3
126,0000126.bin,4.615303824307647e-07,5.119650754229216e-07,1.60206737455751e-06
127,0000127.bin,6.042174849326863e-06,6.566537547990588e-07,3.672832278942157e-06
128,0000128.bin,6.431739170355098e-07,2.1418689171655687e-06,2.0979004706267447e-06
129,0000129.bin,2.1424169689864119e-07,9.942522720410394e-07,1.5369677691715684e-06
130,0000130.bin,6.566537547990588e-07,5.22694997724059e-07,1.3855580318720196e-06
131,0000131.bin,1.8143823994598823e-06,8.963065126449606e-07,7.282246255065293e-06
132,0000132.bin,1.126016203600804e-06,8.249440985079412e-07,1.0578144736767452e-05
133,0000133.bin,5.225612870853725e-06,8.420180801076863e-06,8.776824875474117e-06
134,0000134.bin,9.150915815918627e-07,3.1772848478519603e-07,4.074188669447256e-06
135,0000135.bin,4.7108274030745095e-06,5.562530020862941e-07,6.842918016528431e-06
136,0000136.bin,1.6699243302983136e-06,1.7771366208366078e-06,2.9848397281503923e-06
137,0000137.bin,1.8143823994598823e-06,3.6737720668107847e-07,2.1418689171655687e-06
138,0000138.bin,1.249063967504294e-06,8.963065126449606e-07,4.519404114743726e-06
139,0000139.bin,1.6699243302983136e-06,5.919654935984706e-07,5.677658470657844e-06
140,0000140.bin,3.828398281579019e-06,6.04372089393902e-07,7.434869823080981e-06
141,0000141.bin,8.249440985079412e-07,1.7411008174728234e-07,3.3110143009360785e-06
142,0000142.bin,5.679111244445295e-07,3.2438753658235296e-07,5.118341096047452e-06
143,0000143.bin,3.381272525667451e-07,1.4145969853898238e-06,2.74719181886449e-06
144,0000144.bin,2.2325896362938236e-06,4.1606411087978434e-07,6.98633400751e-06
145,0000145.bin,5.798135813357844e-07,3.11126520848e-06,3.380407562128235e-06
146,0000146.bin,3.90963516015902e-07,5.798135813357844e-07,2.4765605148485884e-06
147,0000147.bin,2.864284228211569e-07,5.336498010569216e-07,3.6737720668107847e-07
148,0000148.bin,8.422335319184902e-07,3.7498086331307844e-06,6.168808617484117e-06
149,0000149.bin,3.380407562128235e-06,1.8912321425672746e-06,2.279380940001432e-06
150,0000150.bin,1.852408786626157e-06,6.988121639350392e-07,5.5611070696974504e-06
151,0000151.bin,7.284109603611176e-07,1.4145969853898238e-06,8.963065126449606e-07
152,0000152.bin,9.342703538179216e-07,3.4512551887258826e-06,2.690797258185451e-06
153,0000153.bin,2.0979004706267447e-06,7.751763173860588e-07,1.2231101243145097e-05
154,0000154.bin,2.8054859857394116e-07,1.036364690961039e-06,3.523587661767843e-06
155,0000155.bin,3.672832278942157e-06,2.6362347446729413e-07,4.809558379928824e-06
156,0000156.bin,1.0150901184878236e-06,1.6699243302983136e-06,3.828398281579019e-06
157,0000157.bin,3.0481766760823525e-07,8.249440985079412e-07,2.8047683141909795e-06
158,0000158.bin,6.04372089393902e-07,6.7024460798252925e-06,2.635560369296196e-06
159,0000159.bin,4.5205605196011757e-07,1.1026191248789804e-05,3.908635036132156e-06
160,0000160.bin,9.942522720410394e-07,3.0481766760823525e-07,4.910358591121176e-06
161,0000161.bin,6.170387064578431e-07,3.452138280431176e-07,2.9235667132941175e-06
162,0000162.bin,2.86355151547451e-06,7.751763173860588e-07,1.9308691704038435e-06
163,0000163.bin,1.5373610415945292e-07,1.1496155992553725e-06,3.11126520848e-06
164,0000164.bin,5.919654935984706e-07,6.431739170355098e-07,3.523587661767843e-06
165,0000165.bin,8.779070650097647e-07,5.798135813357844e-07,6.98633400751e-06
166,0000166.bin,3.523587661767843e-06,2.1867588679967845e-06,4.614123183137255e-06
167,0000167.bin,1.4145969853898238e-06,2.279380940001432e-06,7.590692122991571e-06
168,0000168.bin,1.5691800147637062e-06,9.340313580609215e-06,4.426629446482942e-06
169,0000169.bin,1.635643997802941e-06,1.249063967504294e-06,3.908635036132156e-06
170,0000170.bin,1.275242236228745e-06,2.2799641777798042e-07,4.519404114743726e-06
