,runstring,instability_time,shadow_instability_time,Stable,Pratio21,Pratio32,beta12,beta23
21112,0021112.bin,1000000155.6397053,1000000155.6397053,True,1.3368563586984294,1.667738337643833,13.160953689121405,20.111306619164335
21113,0021113.bin,1000001956.5123466,1000001956.5123466,True,1.4475168450030216,1.9567324839581905,14.098176237657025,29.424143665992972
21114,0021114.bin,28608.594957219528,8985.706384580402,False,1.1101047440609495,1.0900773986286019,9.415892309674005,4.072039490511311
21115,0021115.bin,755.9362544552865,143.13667873747931,False,1.181924110382507,1.1546591210495878,6.551658124682648,5.38594460646566
21116,0021116.bin,1000001755.1766816,1000001755.1766816,True,1.3277171478691325,1.1640230947732457,18.728720873228454,13.138337402216196
21117,0021117.bin,291.9198431076361,291.9198431076361,False,1.3748475272965308,1.088367218120518,9.851247919395204,7.00906683747042
21118,0021118.bin,139681.86089165,171541.8269979487,False,1.362639851429072,1.7751544037851783,14.044743447856828,28.14972363482393
21119,0021119.bin,35274.77354112157,225421.28571606462,False,1.3791748223482647,1.0474796947518505,10.959937862315998,4.906078957569834
21120,0021120.bin,1000000053.931145,1000000053.931145,True,1.0808624166739076,2.3424525046805798,7.179801508060019,26.661466382440267
21121,0021121.bin,1000000813.3527787,1000000813.3527787,True,1.5107952298692282,1.168955668814603,29.483974554451972,8.693766204479942
21122,0021122.bin,48289578.56264286,40128639.06187183,False,1.0620184307915093,1.190747786750582,8.156036197491234,24.069569436867656
21123,0021123.bin,48.98239683805033,48.98239683805033,False,1.1183933634814704,1.5142227300575175,3.5877627710328053,11.886522930988432
21124,0021124.bin,1000000426.7864244,1000000426.7864244,True,1.4990737233615707,1.5739789611823654,16.579780323051274,19.0162750302912
21125,0021125.bin,40192.41219358072,226811.4989823849,False,1.1554501748980326,1.23968547581737,5.35706127184573,6.5950715657746235
21126,0021126.bin,262.6135434435525,369.10002709286255,False,1.466655063014639,1.0918380522052706,17.24266318287503,3.2377902289115155
21127,0021127.bin,4178.503291242929,1328.4136873735836,False,1.0213533023094286,1.9929578184130408,3.2617685790919957,22.202320272952782
21128,0021128.bin,1000000127.2988713,1000000127.2988713,True,1.388263202935698,1.22068351491158,14.776740929515148,8.384316394744236
21129,0021129.bin,1000042590.6588463,1000042590.6588463,True,2.413473011217141,1.4305415474893746,25.605435620820213,17.8724432543299
21130,0021130.bin,1000001310.0192932,1000001310.0192932,True,1.5913927824636112,1.811097247595647,18.055604521975113,20.528656203478363
21131,0021131.bin,496.33647941715964,879.1543489064637,False,1.381315953888827,1.0697750331757214,28.153987525255367,4.216146394819604
21132,0021132.bin,1000000157.6447432,1000000157.6447432,True,1.236605731260045,1.3295814118600142,28.991545806935306,15.12284021095846
21133,0021133.bin,1000009983.5552052,1000009983.5552052,True,1.8731261799481702,1.4811956174520218,20.91305144723703,13.035604010915382
21134,0021134.bin,66514.0765519472,14455.107142449662,False,1.6291208211208565,1.1696968771986704,13.79312050527001,3.792140280639608
21135,0021135.bin,60.933547410276745,60.933547410276745,False,1.2498131645223296,1.0385320546666341,15.244877281669497,1.6284315344796458
21136,0021136.bin,23400.179614684657,10958.893305622374,False,1.1736804867135218,1.7238173301765884,6.99609684455589,17.04798961605243
21137,0021137.bin,1000045774.6474457,1000045774.6474457,True,1.9202712706817893,1.1946714786821604,17.390812206453724,17.65292296319138
21138,0021138.bin,156533.05251048782,229189.36227691578,False,1.305247702096136,1.5472899381415037,12.37914088126838,11.589020858744465
21139,0021139.bin,1000002290.7473245,1000002290.7473245,True,1.5145982988051008,1.256050376590165,27.397072454423068,27.632646806077517
21140,0021140.bin,29813.998395997445,28520.017878773248,False,1.2728083412568005,1.2797838266424295,7.96500341885026,11.439260834697187
21141,0021141.bin,1000000161.126574,1000000161.126574,True,1.3535335532127708,1.3932259154949178,21.244292137951753,20.395043352436993
21142,0021142.bin,413.1633996373807,254.6461097287233,False,1.2031038272240457,1.4492223605088814,13.595209116113624,25.11023451115549
21143,0021143.bin,42640.596730016965,16066.052957548896,False,1.217229579192102,1.165811389595961,12.179961928359871,11.89185304999586
21144,0021144.bin,135467.365607861,707552.522910995,False,1.3567403425077507,1.2522949736642075,24.831488650493498,13.021627222854345
21145,0021145.bin,40455.96104550365,40257.98763823059,False,1.6897944751408256,1.5326721570244162,28.730029798417085,29.356316940360763
21146,0021146.bin,1000003026.1678947,1000003026.1678947,True,1.1780515390895518,1.2987143288433438,9.060963721868017,28.732839401938392
21147,0021147.bin,0.8660254037844394,0.8660254037844394,False,1.1539360980320417,1.3823073755837976,7.579071285683096,28.002346885917714
21148,0021148.bin,1000011119.3379273,1000011119.3379273,True,2.3801774766800703,1.2489545850316646,25.28714862390008,5.633593309989823
21149,0021149.bin,205399.8868871913,213262.08119063848,False,1.5634179277141198,1.0816002221899472,23.776435303341135,11.662153024248683
21150,0021150.bin,1000013462.9003328,1000013462.9003328,True,1.933072820322117,1.5945799386455017,24.734114764824618,28.2042065792495
21151,0021151.bin,1000000186.0644176,1000000186.0644176,True,1.5439970429689351,2.5795495942501194,11.514723254100591,25.081517210461413
21152,0021152.bin,1000000337.8732164,1000000337.8732164,True,1.2811272352945111,1.7656101719485537,27.668642662455262,15.43361233175276
21153,0021153.bin,33.3592985537774,33.3592985537774,False,1.0199884751268657,2.2569147537298915,1.5623674020290987,28.951996743886056
21154,0021154.bin,27.81673596955709,27.81673596955709,False,1.066509301368182,1.6690986947047808,1.8457221914945607,26.87091630049458
21155,0021155.bin,113.34540484732071,107.28322702082758,False,1.377483501482115,1.1968811831661026,10.145686288171255,4.253914395038424
21156,0021156.bin,12.505406830647425,12.505406830647425,False,1.1324903254982626,1.2792148981240095,2.7473886123320033,6.499569514290163
21157,0021157.bin,1000000074.4750428,1000000074.4750428,True,1.0947758503271654,1.5724590857047704,11.40022356572271,28.80923265194546
21158,0021158.bin,1000009750.1798453,1000009750.1798453,True,1.9319972180724643,1.360319899595868,18.66533744595518,8.336186504418375
21159,0021159.bin,1000000887.3975883,1000000887.3975883,True,1.337037291264508,1.2890357419408518,24.826577833303105,26.824595607097873
21160,0021160.bin,1000000646.2661822,1000000646.2661822,True,1.2729115861082074,1.4530403212397904,21.282352599626805,20.976515309609177
21161,0021161.bin,21.234942900794312,21.234942900794312,False,1.599243823243669,1.037503805611709,17.331202551326093,1.8677817225552493
21162,0021162.bin,1000000224.3245572,1000000224.3245572,True,1.1687614492400746,1.40765985914776,17.41449125954036,14.202677793832395
21163,0021163.bin,45.795423352118966,45.795423352118966,False,1.3253393367171304,1.0253286617238988,25.950812274676515,1.9215502085320468
21164,0021164.bin,2552.661839181332,4588.860768581652,False,1.0420057596230934,1.1376458357275099,3.939170398889619,8.180452659526768
21165,0021165.bin,134909.9916767308,1888.6628415842254,False,1.041497045486749,1.1934402261684187,2.5774101511218994,22.43989230508855
21166,0021166.bin,7392.739256816115,7800.845068087197,False,1.437242967119595,1.5898078936389264,25.58182206024499,28.27361778361866
21167,0021167.bin,1000000508.3715601,1000000508.3715601,True,2.0350121156971275,1.5020277810961653,20.584931136009757,9.660900041124314
21168,0021168.bin,3682976.4503073767,15083673.906057546,False,1.2497327372569296,1.6631062658564888,20.289200799285847,15.93118142577629
21169,0021169.bin,65.92185373607305,65.92185373607305,False,1.1852210229850717,1.1016885120764417,15.952949713165482,2.607595114535147
21170,0021170.bin,38014.808635366535,34563.247068416626,False,1.9050928741703406,1.653604070476257,19.094617042952727,17.44540729935272
21171,0021171.bin,1000002356.3307034,1000002356.3307034,True,2.042014173199843,1.8704354504414724,19.63497596838769,15.338938664953188
21172,0021172.bin,1000001260.0728377,1000001260.0728377,True,1.4162511925914083,1.3839299495199753,24.244779318282816,28.401849852030903
21173,0021173.bin,1423.018302485051,1844.4609049839755,False,1.2415574270685623,1.383016031134765,7.459768483086278,8.776129929469612
21174,0021174.bin,1000000600.9297671,1000000600.9297671,True,1.3695085532314943,1.1772235542030085,29.870211367967123,21.165536055738773
21175,0021175.bin,46168.957427278154,22360.602720974457,False,1.3742303726319516,1.1985888193810152,11.312984758916196,5.475570165538141
21176,0021176.bin,68589.62767690679,96199.41821866584,False,1.2043124179119402,1.089194722254282,16.6546342061855,7.261253132735222
21177,0021177.bin,1000030909.1230543,1000030909.1230543,True,2.3554664308875477,1.5911325407946804,21.792024744467895,12.223213122520338
21178,0021178.bin,6625614.622005591,34423295.81833789,False,1.2124958637898915,1.125515714907995,19.94666876791361,6.487484031402276
