,runstring,seed,pairindex,j,k,Zstar,libfac,Zcom
7899,0007899.bin,7899,0,11,1,0.04042712,-0.10516889999999998,0.01406428
7900,0007900.bin,7900,2,2,1,0.1299393,-0.02142416,0.02437192
7901,0007901.bin,7901,0,3,1,0.08721878,-2.7189810000000003,0.07927675
7902,0007902.bin,2807902,1,11,2,0.00500386,2.559535,0.01410696
7903,0007903.bin,7903,1,19,2,0.003833289,0.03334691,0.01822084
7904,0007904.bin,707904,0,19,2,0.0077696330000000015,0.01002436,0.06821884
7905,0007905.bin,7905,0,17,1,0.01896985,0.1160975,0.02331817
7906,0007906.bin,7906,1,17,2,0.005204045,-0.09575248,0.003754823
7907,0007907.bin,7907,2,3,1,0.03840926,-0.02753355,0.04254643
7908,0007908.bin,2107908,0,5,2,0.01062286,0.5781378,0.0220006
7909,0007909.bin,7909,1,13,2,0.01039347,-0.05083551,0.005351752
7910,0007910.bin,1407910,2,2,1,0.3078329,0.06411354,0.09672431
7911,0007911.bin,707911,1,7,2,0.02387344,-0.009973868,0.01036213
7912,0007912.bin,707912,0,7,1,0.04440035,0.01854871,0.06030645
7913,0007913.bin,7913,0,3,1,0.06879014,1.731966,0.04502587
7914,0007914.bin,7914,0,11,2,0.008591501999999999,-0.04290663,0.0942219
7915,0007915.bin,7915,1,5,2,0.01003748,-0.5357281,0.07352425
7916,0007916.bin,7916,0,4,1,0.1534478,-0.007246688,0.0474021
7917,0007917.bin,5607917,1,5,2,0.06856518,-1.254666,0.009204468
7918,0007918.bin,707918,0,4,1,0.06218965,0.03936015,0.1492395
7919,0007919.bin,7919,0,11,2,0.008376971,-0.9791148,0.04998714
7920,0007920.bin,1407920,1,4,1,0.15298570000000006,-0.005274215,0.05878337
7921,0007921.bin,7921,2,3,1,0.01042209,-0.07869315,0.1326943
7922,0007922.bin,7922,1,9,2,0.08824483,0.05488241,0.007655245
7923,0007923.bin,707923,1,10,1,0.02686678,-0.03908014,0.06638859
7924,0007924.bin,7924,0,13,2,0.01611628,0.1517584,0.1012594
7925,0007925.bin,7925,1,5,1,0.04974192,-0.02801712,0.1315717
7926,0007926.bin,707926,1,21,2,0.008698520999999999,0.1036511,0.003217795
7927,0007927.bin,7927,1,7,2,0.01876628,2.6828,0.03338734
7928,0007928.bin,707928,0,8,1,0.02498021,-0.05449438,0.01621297
7929,0007929.bin,707929,1,12,1,0.008596896,-0.007755389,0.00864114
7930,0007930.bin,7930,1,15,2,0.004747239,0.1135762,0.02207517
7931,0007931.bin,707931,0,21,2,0.003910448,-0.1758412,0.04588867
7932,0007932.bin,2107932,1,5,1,0.07890706,2.508278,0.02036468
7933,0007933.bin,7933,0,13,2,0.0014970679999999998,0.04024522,0.002655393
7934,0007934.bin,7934,1,17,2,0.01246337,-0.01631245,0.008121104
7935,0007935.bin,1407935,1,15,2,0.009544451,-0.0032703040000000004,0.008470452
7936,0007936.bin,7936,0,9,1,0.03565789,-2.607684,0.05667702
7937,0007937.bin,7937,2,6,1,0.01662587,-1.945306,0.006749097
7938,0007938.bin,707938,0,8,1,0.02288888,-0.01979755,0.07054727
7939,0007939.bin,707939,0,10,1,0.02839596,0.2310383,0.01684978
7940,0007940.bin,7940,0,5,2,0.1096216,-0.0207734,0.03910981
7941,0007941.bin,7941,1,5,1,0.02276235,0.02789814,0.02961574
7942,0007942.bin,1407942,0,6,1,0.05951398,-0.02394451,0.08712446
7943,0007943.bin,7943,0,13,2,0.007242808000000002,0.5699299,0.01830561
7944,0007944.bin,7944,0,9,1,0.02202688,-1.365152,0.04077098
7945,0007945.bin,7945,1,19,1,0.003351653,-0.4700988,0.005870512
7946,0007946.bin,7946,0,9,1,0.06666894,0.02637514,0.0158762
7947,0007947.bin,2807947,1,4,1,0.0863,-0.2393285,0.09781091
7948,0007948.bin,707948,2,2,1,0.02013785,-0.03364486,0.06938372
7949,0007949.bin,7949,2,5,2,0.008961138,0.04813132,0.02473404
7950,0007950.bin,707950,1,10,1,0.0156858,-0.02377709,0.01275323
7951,0007951.bin,7951,2,3,2,0.01212407,-0.01837413,0.1613818
7952,0007952.bin,7952,0,7,1,0.03381339,0.006162096999999999,0.05527436
7953,0007953.bin,7953,0,9,2,0.008820729,0.04521106,0.007009388
7954,0007954.bin,7954,1,7,2,0.02784679,-0.15694570000000002,0.06228576
7955,0007955.bin,707955,1,6,1,0.02426991,2.42396,0.07549360000000001
7956,0007956.bin,1407956,2,3,1,0.1713999,-0.053555999999999986,0.136139
7957,0007957.bin,707957,0,2,1,0.2449928,-0.0355708,0.2893538
7958,0007958.bin,7958,1,9,1,0.02207801,-2.153073,0.01273545
7959,0007959.bin,7959,1,4,1,0.02338312,2.6946380000000003,0.02892086
7960,0007960.bin,1407960,1,16,1,0.02775288,-0.08723893,0.008381721
7961,0007961.bin,707961,0,15,2,0.001884724,-0.09745102,0.07891261
7962,0007962.bin,7962,0,6,1,0.07441393,-0.01033446,0.02930135
7963,0007963.bin,7963,0,18,1,0.01564335,-0.005901472,0.004381544
